,date,airsensor_moisture,airsensor_temperature,leafsensor_moisture,first,second
0,2021-08-11 13:00:00+00:00,28.626996,36.949987,0.31665,-2.597801,0.020475771549551557
1,2021-08-11 14:00:00+00:00,27.517486666666667,36.5766525,0.2204166666666666,-2.597801,0.09771698149380992
2,2021-08-11 15:00:00+00:00,32.522486666666666,35.357485833333335,0.1600833333333333,-2.597801,0.0
3,2021-08-11 16:00:00+00:00,34.91999666666667,34.947495833333335,0.23075,-2.597801,0.04984874271187553
4,2021-08-11 17:00:00+00:00,42.12582833333334,31.86666083333333,0.1900833333333333,-2.647866,0.0
5,2021-08-11 18:00:00+00:00,52.20332916666666,27.367486666666668,0.1888333333333333,-2.647866,0.0
6,2021-08-11 19:00:00+00:00,57.70831916666666,25.2091625,0.2331666666666666,-2.647866,0.4735946761289831
7,2021-08-11 20:00:00+00:00,63.5474125,24.22665333333333,0.2410833333333333,-2.647866,1.9491164373238425
8,2021-08-11 21:00:00+00:00,72.80998833333334,23.05915416666667,0.2689166666666666,-2.4052301764111386,4.319505384659784
9,2021-08-11 22:00:00+00:00,80.69997500000001,21.49166333333333,0.0568333333333333,-2.3963413521816834,0.0
10,2021-08-11 23:00:00+00:00,85.96856714285715,19.884265714285718,0.173,-2.3949322224587264,0.0
11,2021-08-12 00:00:00+00:00,87.91832916666668,19.309155,0.333,-2.1447807554683553,0.3481331473471664
12,2021-08-12 01:00:00+00:00,88.61914583333333,18.744159166666662,0.1276666666666666,-2.149459481001642,0.0
13,2021-08-12 02:00:00+00:00,89.94499833333333,18.2824875,0.3243333333333333,-1.9081380143575832,0.2900969211071842
14,2021-08-12 03:00:00+00:00,90.32165166666668,17.878329166666667,0.2910833333333333,-1.6728754889184385,1.06425937429696
15,2021-08-12 04:00:00+00:00,89.8758275,17.642496666666666,0.156,-1.680388690692068,0.0
16,2021-08-12 05:00:00+00:00,86.61581333333334,18.086661666666668,0.1645,-1.6667972933632624,0.0
17,2021-08-12 06:00:00+00:00,74.15582833333333,21.026654166666667,0.1320833333333333,-1.6369282268020546,0.0
18,2021-08-12 07:00:00+00:00,56.785828333333335,25.49581166666667,0.2548333333333333,-1.5774384423014602,0.4655447855061205
19,2021-08-12 08:00:00+00:00,46.54498666666667,28.474986666666663,0.2603333333333333,-1.7189753610216094,1.2998357305992008
20,2021-08-12 09:00:00+00:00,41.32998583333333,31.37249,0.128,-2.2191196079889064,0.0
21,2021-08-12 10:00:00+00:00,39.33666,33.62666,0.0484166666666666,-2.3474760000000003,0.0
22,2021-08-12 11:00:00+00:00,36.88241166666666,34.782495000000004,0.3156666666666666,-2.2974110000000003,0.05329346179377916
23,2021-08-12 12:00:00+00:00,33.2924875,36.80082,0.19625,-2.2974110000000003,0.0
24,2021-08-12 13:00:00+00:00,30.585829166666667,38.029162500000005,0.1724166666666666,-2.2974110000000003,0.0
25,2021-08-12 14:00:00+00:00,28.92998833333333,40.58582916666666,0.2068333333333333,-2.2974110000000003,0.0028057957483329063
26,2021-08-12 15:00:00+00:00,33.70999416666667,38.602494166666666,0.2163333333333333,-2.647866,0.03521668022414954
27,2021-08-12 16:00:00+00:00,44.85999916666666,34.65082916666667,0.1463333333333333,-2.647866,0.0
28,2021-08-12 17:00:00+00:00,54.46666416666667,31.269162500000004,0.2025,-2.647866,0.17484862071467602
29,2021-08-12 18:00:00+00:00,62.15916333333333,28.154165000000003,0.1009166666666666,-2.647866,0.0
30,2021-08-12 19:00:00+00:00,60.47082666666666,26.46749,0.2405833333333333,-2.647866,0.4296454390013037
31,2021-08-12 20:00:00+00:00,68.43248416666667,25.235824166666664,0.2869166666666666,-2.4298796957792517,1.8776083799425247
32,2021-08-12 21:00:00+00:00,79.01666250000001,24.341664166666664,0.17975,-2.4180222334173704,0.0
33,2021-08-12 22:00:00+00:00,83.39545181818181,23.96908818181818,0.203,-2.41379415319616,0.49287398816482175
34,2021-08-12 23:00:00+00:00,85.44163916666668,22.99166,0.1808333333333333,-2.404694560968956,0.0
35,2021-08-13 00:00:00+00:00,87.018305,22.20082083333333,0.10975,-2.647866,0.0
36,2021-08-13 01:00:00+00:00,86.527495,21.41083,0.2262499999999999,-2.647866,0.4488712244727465
37,2021-08-13 02:00:00+00:00,87.22998833333334,20.39665666666667,0.1918333333333333,-2.647866,0.0
38,2021-08-13 03:00:00+00:00,88.36332083333333,19.7866625,0.1584166666666666,-2.647866,0.0
39,2021-08-13 04:00:00+00:00,88.16083083333332,19.409995,0.1766666666666666,-2.647866,0.0
40,2021-08-13 05:00:00+00:00,85.24499666666667,19.10749583333333,0.2333333333333333,-2.647866,0.336898236762159
41,2021-08-13 06:00:00+00:00,74.36581083333333,22.299156666666665,0.1904166666666666,-2.647866,0.0
42,2021-08-13 07:00:00+00:00,55.02082833333333,26.62166333333333,0.1156666666666666,-2.647866,0.0
43,2021-08-13 08:00:00+00:00,48.83416,29.030829166666667,0.1521666666666666,-2.647866,0.0
44,2021-08-13 09:00:00+00:00,44.45833,31.089993333333336,0.17475,-2.647866,0.0
45,2021-08-13 10:00:00+00:00,39.25915666666667,33.198319166666664,0.1923333333333333,-2.647866,0.0
46,2021-08-13 11:00:00+00:00,37.48582916666667,34.5633225,0.1984999999999999,-2.647866,0.0
47,2021-08-13 12:00:00+00:00,31.41157833333333,36.5183275,0.2636666666666666,-2.597801,0.025112042262376733
48,2021-08-13 13:00:00+00:00,33.689164166666664,36.921664166666666,0.1905,-2.597801,0.0
49,2021-08-13 14:00:00+00:00,32.63749333333333,37.44999833333333,0.19425,-2.597801,0.0
