date,phytos31_moisture,teros11_temperature,atmos14_atmosphericpressure,teros11_volumetricwatercontent,atmos14_temperature,atmos14_vaporpressure,atmos14_moisture
2022-07-07 21:00:00+00:00,0.1658675,21.559998999999998,97.60999875,2559.51103,17.211107777777777,1.6725533333333333,0.85144
2022-07-07 22:00:00+00:00,0.1667,21.39999,97.63249,2562.5266866666666,16.7,1.6582425,0.8725
2022-07-07 23:00:00+00:00,,,,,,,
2022-07-08 00:00:00+00:00,,,,,,,
2022-07-08 01:00:00+00:00,,,,,,,
2022-07-08 02:00:00+00:00,,,,,,,
2022-07-08 03:00:00+00:00,,,,,,,
2022-07-08 04:00:00+00:00,0.16776,,97.75,2554.12988,17.29999,1.785,0.904
2022-07-08 05:00:00+00:00,0.16662818181818181,20.7749925,97.75727,2553.1991341666667,18.133329166666666,1.7999975,0.8634509090909092
2022-07-08 06:00:00+00:00,0.16617333333333334,21.366663333333335,97.76,2546.9699875,20.5749975,1.7950825000000001,0.727
2022-07-08 07:00:00+00:00,0.16603083333333332,21.74545090909091,97.75090636363637,2649.2845300000004,21.791663333333332,1.6582458333333332,0.6332718181818181
2022-07-08 08:00:00+00:00,0.16428083333333335,21.999995833333333,97.7466625,2647.612465,22.699992499999997,1.4835816666666668,0.53808
2022-07-08 09:00:00+00:00,0.16452333333333333,22.266661666666664,97.73915750000002,2616.08168,23.70832833333333,1.4261633333333332,0.48733166666666666
2022-07-08 10:00:00+00:00,0.16407666666666668,22.658330000000003,97.73582750000001,2597.490917272727,24.83332833333333,1.3906633333333334,0.44375000000000003
2022-07-08 11:00:00+00:00,0.1643425,23.474996666666666,97.72250000000001,2644.023330833333,26.274996666666667,1.4097466666666667,0.41299749999999996
2022-07-08 12:00:00+00:00,0.16521666666666668,25.191664166666666,97.70582416666667,2669.7381654545457,26.724994166666665,1.2719933333333333,0.3625825
2022-07-08 13:00:00+00:00,0.16497166666666666,24.463632727272728,97.69499416666667,2658.034989166667,27.033330833333334,1.2594941666666666,0.3527483333333333
2022-07-08 14:00:00+00:00,0.16346916666666667,24.427267272727274,97.68083083333333,2678.9045572727273,27.324995833333332,1.2009027272727273,0.33216666666666667
2022-07-08 15:00:00+00:00,0.16497166666666666,24.3749925,97.66582749999999,2643.5974883333333,27.441665,1.2114958333333334,0.33133166666666664
2022-07-08 16:00:00+00:00,0.163995,24.224994166666665,97.66166499999999,2615.6824716666665,26.591660833333332,1.2165418181818182,0.3486666666666667
