date,atmos14_temperature,teros11_volumetricwatercontent,atmos14_vaporpressure,atmos14_moisture1,teros11_volumetricwatercontent1,teros11_temperature1,atmos14_atmosphericpressure1,phytos31_moisture1,teros11_temperature,atmos14_moisture,atmos14_temperature1,atmos14_atmosphericpressure,atmos14_vaporpressure1,phytos31_moisture
2022-07-14 14:00:00+00:00,28.64423057692308,1812.6486457692308,1.5002078846153848,,,,,,29.021152884615386,0.38232692307692306,,94.624995,,0.1620928846153846
2022-07-14 15:00:00+00:00,28.70454393939394,1812.6641674626865,1.4763796923076924,0.373609756097561,1812.5963292682927,29.2487756097561,94.59950317073171,0.1766177272727273,29.231338507462688,0.3751807575757576,28.743898048780487,94.597875,1.473410487804878,0.16102046153846153
2022-07-14 16:00:00+00:00,28.687499333333335,1812.29957,1.4842125833333335,0.3862621052631579,1829.8405326315788,29.0,94.54947368421053,0.16321409090909092,29.404990833333333,0.3775,28.931573157894736,94.5515805,1.5403668421052632,0.16148258333333335
2022-07-14 17:00:00+00:00,28.652499999999996,1812.4370724050634,1.49017275,0.3797848101265823,1829.8613849367089,28.97974506329114,94.56581607594936,0.16472531645569619,29.353156582278483,0.379625,28.86328316455696,94.563369,1.5091483544303796,0.16137475
2022-07-14 18:00:00+00:00,28.229997000000004,1811.883991,1.458396,0.3795,1829.6233375,28.591665000000003,94.62499333333334,0.165745,28.709996999999998,0.3804,28.441663333333334,94.61899600000001,1.471995,0.164634
2022-07-14 19:00:00+00:00,27.95832833333333,1811.9266558333331,1.4347466666666666,0.38066666666666665,1829.8583416666668,28.27499416666667,94.67083083333334,0.16434166666666666,28.216662499999998,0.38075,28.041663333333332,94.66416249999999,1.4411616666666667,0.162735
2022-07-14 20:00:00+00:00,27.724996666666666,1811.352493333333,1.4125825,0.38058333333333333,1829.2666399999998,28.008330833333332,94.70832416666667,0.16509333333333334,27.86666,0.37966666666666665,27.77499416666667,94.70499166666667,1.4191616666666667,0.16377333333333333
2022-07-14 21:00:00+00:00,27.522222222222222,1811.3777766666667,1.3939933333333334,0.38,1829.61999,27.89999,94.70999,0.16605,27.555555555555557,0.37933333333333336,27.7,94.69221999999999,1.40999,0.16184333333333334
2022-07-14 22:00:00+00:00,27.37499166666667,1811.17251,1.3798308333333333,,,,,,27.358324166666666,0.379,,94.68916333333334,,0.16302
2022-07-14 23:00:00+00:00,27.174999166666666,1811.0575,1.3647433333333332,,,,,,27.183332500000002,0.3786666666666667,,94.70165916666667,,0.16346750000000002
2022-07-15 00:00:00+00:00,27.05,1810.8974983333335,1.3544116666666666,,,,,,27.041666666666668,0.3790833333333334,,94.703325,,0.1623475
2022-07-15 01:00:00+00:00,26.891659166666667,1810.9358283333333,1.3422475,,,,,,26.87499083333333,0.3790833333333334,,94.6825,,0.16195916666666668
2022-07-15 02:00:00+00:00,26.77499333333333,1810.3633183333334,1.3332458333333335,,,,,,26.7416625,0.3794166666666667,,94.67249166666666,,0.16409833333333332
2022-07-15 03:00:00+00:00,26.666665833333337,1810.7666575,1.3254116666666667,,,,,,26.61666666666667,0.3795,,94.6883275,,0.1631
2022-07-15 04:00:00+00:00,26.516665833333334,1810.3766483333332,1.3165791666666666,,,,,,26.4749975,0.3801666666666667,,94.72083166666665,,0.16183833333333333
2022-07-15 05:00:00+00:00,26.43332666666667,1810.4099791666667,1.311245,,,,,,26.366656666666668,0.38075,,94.72749750000001,,0.16251083333333333
2022-07-15 06:00:00+00:00,26.36249,1810.10873,1.30787,,,,,,26.29999,0.381375,,94.75499875,,0.16180875
2022-07-15 07:00:00+00:00,,,,,,,,,,,,,,
2022-07-15 08:00:00+00:00,26.516663333333337,2224.4716750000002,1.5204950000000002,0.43988777777777777,2268.482252222222,26.97499875,96.98555,0.16195555555555555,28.46665833333333,0.43883333333333335,26.24444,96.97666666666667,1.4993322222222223,0.16222499999999998
2022-07-15 09:00:00+00:00,27.0333275,2219.7291808333334,1.5289958333333333,0.429915,2262.7733508333336,27.983329166666667,96.97166416666666,0.1649125,28.33332916666667,0.4286641666666666,27.3416625,96.96166083333333,1.5621633333333333,0.16098500000000002
2022-07-15 10:00:00+00:00,28.608328333333333,2213.2641375,1.5927466666666668,0.41190818181818184,2256.30914,29.799994545454545,96.92749583333334,0.16218416666666666,30.166663333333332,0.40708000000000005,28.92499583333333,96.91916250000001,1.6300808333333334,0.16234666666666667
2022-07-15 11:00:00+00:00,30.324995,2206.4132875,1.7407483333333333,0.38699666666666666,2249.1083325,31.608311666666665,96.87499666666668,0.16261083333333334,31.941654166666666,0.40208166666666667,30.391663333333337,96.86582916666667,1.6808283333333334,0.16306083333333335
2022-07-15 12:00:00+00:00,32.058326666666666,2200.4316566666666,1.7137491666666669,0.3610808333333333,2242.1274983333333,32.68333,96.85999916666667,0.163385,33.266664999999996,0.3598308333333333,32.2166475,96.850825,1.82033,0.16216416666666666
2022-07-15 13:00:00+00:00,32.299995,2195.0099858333333,1.5669950000000001,0.30208166666666664,2236.5691691666666,32.618176363636366,96.84082666666667,0.16147166666666665,33.266641666666665,0.32424583333333334,32.3666625,96.83082666666667,1.4665791666666665,0.16218416666666666
2022-07-15 14:00:00+00:00,30.416665,2191.030819166667,1.8106641666666665,0.4377491666666667,2241.340001666667,30.9166625,96.83666083333333,0.1626725,32.008320833333336,0.4114975,30.066664166666666,96.82749583333333,1.8514158333333333,0.163365
