date,atmos14_temperature,teros11_temperature,atmos14_moisture,teros11_volumetricwatercontent,atmos14_vaporpressure,atmos14_atmosphericpressure,phytos31_moisture
2022-04-28 10:00:00+00:00,16.9,15.0,0.552,1804.5,1.6,97.4,0.16519499999999998
2022-04-28 11:00:00+00:00,,,,,,,
2022-04-28 12:00:00+00:00,25.499996666666664,25.799989999999998,0.39666666666666667,2510.643306666667,1.29566,96.89666333333334,0.16271333333333335
2022-04-28 13:00:00+00:00,25.024996666666667,26.0166625,0.3809983333333333,2507.9983458333336,1.2076624999999999,96.87416166666667,0.1617575
2022-04-28 14:00:00+00:00,24.649995,25.808329999999998,0.3627466666666666,2505.8316608333334,1.2481625,96.84249,0.1639341666666667
2022-04-28 15:00:00+00:00,24.233329166666667,25.108328333333333,0.37291583333333334,2505.3574599999997,1.2739125,96.831665,0.16194
2022-04-28 16:00:00+00:00,24.058332500000002,24.44166416666667,0.3990816666666666,2500.7058066666664,1.2689108333333332,96.83499583333332,0.1617175
2022-04-28 17:00:00+00:00,23.308329166666667,23.658329166666665,0.5428324999999999,2499.2174658333333,1.5490816666666667,96.87749666666667,0.16263333333333332
2022-04-28 18:00:00+00:00,20.424994166666668,22.249995833333333,0.7069158333333333,2501.1966508333335,1.6964983333333334,96.9341625,0.16350833333333334
2022-04-28 19:00:00+00:00,17.327270000000002,20.2416625,0.7723316666666666,2505.5924858333333,1.5167483333333334,97.074155,0.16395583333333333
2022-04-28 20:00:00+00:00,17.333330833333335,19.24166333333333,0.7415824999999999,2510.456620833333,1.4658291666666665,97.49162916666667,0.165665
2022-04-28 21:00:00+00:00,17.066663333333334,18.391658333333336,0.717,2514.1224741666665,1.3929958333333332,97.274995,0.16478916666666668
2022-04-28 22:00:00+00:00,17.55833,17.8916625,0.6923333333333334,2517.2866366666667,1.3883299999999998,97.35833333333333,0.16517583333333333
2022-04-28 23:00:00+00:00,17.26666416666667,17.424995833333334,0.6975824999999999,2520.26334,1.3723308333333335,97.3,0.16710666666666665
2022-04-29 00:00:00+00:00,17.191660833333334,17.074996666666667,0.6889158333333333,2522.7416341666667,1.3495808333333335,97.44162916666666,0.16586833333333334
2022-04-29 01:00:00+00:00,17.416664166666667,16.733330833333333,0.6745,2524.5950266666664,1.3403291666666668,97.07915416666667,0.16401666666666667
2022-04-29 02:00:00+00:00,17.39999583333333,16.408325833333333,0.6713308333333333,2527.105015,1.33333,96.97416416666665,0.16450416666666667
2022-04-29 03:00:00+00:00,17.133329166666666,16.0999975,0.66833,2528.7241575000003,1.3058308333333333,96.94083,0.16562333333333334
2022-04-29 04:00:00+00:00,17.483329166666667,15.949996666666669,0.6624133333333334,2530.339148333333,1.3229133333333334,96.97082916666666,0.1643
2022-04-29 05:00:00+00:00,19.3499975,16.724995833333335,0.6834983333333332,2531.4733441666667,1.5345816666666667,97.4457875,0.1643025
2022-04-29 06:00:00+00:00,20.474995833333335,18.349996666666666,0.8039158333333334,2538.3624825,2.0713216666666665,97.3999675,0.1652375
2022-04-29 07:00:00+00:00,23.03333,20.099995555555555,0.6731088888888889,2552.01998375,2.0031066666666666,96.98666333333333,0.16399
2022-04-29 08:00:00+00:00,24.141663333333337,21.274996666666667,0.55058,2555.0325266666664,1.6539125,96.95665833333334,0.1624475
2022-04-29 09:00:00+00:00,24.399996666666667,23.191662500000003,0.459915,2540.6508516666668,1.4069116666666668,96.93499583333333,0.16350666666666666
2022-04-29 10:00:00+00:00,24.024996666666667,24.016665833333334,0.4278325,2532.4183316666667,1.2771608333333333,96.89082916666666,0.1623875
2022-04-29 11:00:00+00:00,24.249995833333333,24.049998333333335,0.43533,2528.2958325,1.3193291666666667,96.84666333333332,0.16240916666666666
2022-04-29 12:00:00+00:00,24.691663333333334,24.3666625,0.41616583333333335,2525.276648333333,1.2918283333333334,96.80916,0.1624275
2022-04-29 13:00:00+00:00,25.43332666666667,24.90833166666667,0.3678333333333333,2525.0691483333335,1.29883,96.76582916666666,0.1620825
2022-04-29 14:00:00+00:00,25.074996666666667,24.566660833333334,0.4082483333333333,2523.06329,1.297745,96.74749916666667,0.1637925
2022-04-29 15:00:00+00:00,25.108330833333337,24.416660833333335,0.4332475,2520.8483241666668,1.3794950000000001,96.7275,0.16428083333333335
2022-04-29 16:00:00+00:00,24.533329166666665,24.0166625,0.54975,2523.201675,1.6903308333333333,96.72333333333334,0.161635
2022-04-29 17:00:00+00:00,22.624995833333333,23.224995000000003,0.7199983333333333,2520.9875033333333,2.1282483333333335,96.71916583333332,0.16462666666666667
2022-04-29 18:00:00+00:00,19.249996666666664,21.80833,0.7831641666666666,2522.7133341666668,1.7438325,96.74749750000001,0.1650125
2022-04-29 19:00:00+00:00,17.10833,20.39999583333333,0.8547491666666667,2526.0291691666666,1.6669958333333332,96.78416166666666,0.16485
2022-04-29 20:00:00+00:00,15.958328333333334,19.374995833333333,0.8685816666666667,2529.4583475,1.5744966666666667,96.8041625,0.164565
2022-04-29 21:00:00+00:00,15.208327500000001,18.541660833333335,0.8935833333333334,2533.054115,1.5424141666666669,96.79082916666665,0.1651975
2022-04-29 22:00:00+00:00,14.899995833333334,18.0416625,0.9044975000000001,2535.8316591666667,1.5322483333333334,96.76083,0.16546083333333333
2022-04-29 23:00:00+00:00,16.67499666666667,17.799993333333333,0.8509158333333332,2538.0324866666665,1.6144100000000001,96.73999666666667,0.16538
2022-04-30 00:00:00+00:00,16.633330833333336,17.533330833333334,0.8355816666666667,2540.3557916666664,1.5799141666666667,96.72249833333335,0.16662083333333333
