date,phytos31_moisture,atmos14_temperature,atmos14_atmosphericpressure,teros11_temperature,atmos14_vaporpressure,atmos14_moisture,teros11_volumetricwatercontent
2022-04-30 06:00:00+00:00,0.32848076923076924,,,,,,
2022-04-30 07:00:00+00:00,0.3289341666666667,,,,,,
2022-04-30 08:00:00+00:00,0.32895416666666666,,,,,,
2022-04-30 09:00:00+00:00,0.32864750000000004,,,,,,
2022-04-30 10:00:00+00:00,0.32897333333333334,,,,,,
2022-04-30 11:00:00+00:00,0.3292975,,,,,,
2022-04-30 12:00:00+00:00,0.32877166666666663,,,,,,
2022-04-30 13:00:00+00:00,0.32846416666666667,,,,,,
2022-04-30 14:00:00+00:00,0.32767083333333336,,,,,,
2022-04-30 15:00:00+00:00,0.327394,,,,,,
2022-04-30 16:00:00+00:00,0.3155,,,,,,
2022-04-30 17:00:00+00:00,,,,,,,
2022-04-30 18:00:00+00:00,,,,,,,
2022-04-30 19:00:00+00:00,,,,,,,
2022-04-30 20:00:00+00:00,,,,,,,
2022-04-30 21:00:00+00:00,,,,,,,
2022-04-30 22:00:00+00:00,,,,,,,
2022-04-30 23:00:00+00:00,,,,,,,
2022-05-01 00:00:00+00:00,,,,,,,
2022-05-01 01:00:00+00:00,,,,,,,
2022-05-01 02:00:00+00:00,,,,,,,
2022-05-01 03:00:00+00:00,,,,,,,
2022-05-01 04:00:00+00:00,,,,,,,
2022-05-01 05:00:00+00:00,,,,,,,
2022-05-01 06:00:00+00:00,0.3160716666666667,,,,,,
2022-05-01 07:00:00+00:00,0.301155,,,,,,
2022-05-01 08:00:00+00:00,0.30874666666666667,,,,,,
2022-05-01 09:00:00+00:00,0.30526416666666667,,,,,,
2022-05-01 10:00:00+00:00,0.305265,,,,,,
2022-05-01 11:00:00+00:00,0.30367833333333333,,,,,,
2022-05-01 12:00:00+00:00,0.300545,,,,,,
2022-05-01 13:00:00+00:00,0.30384083333333334,,,,,,
2022-05-01 14:00:00+00:00,0.3111275,,,,,,
2022-05-01 15:00:00+00:00,0.30807416666666665,,,,,,
