,date,atmos14_atmosphericpressure,atmos14_vaporpressure,percent_humidity_avg,teros11_temperature,teros11_volumetricwatercontent,air_temp_celsius_avg,phytos31_moisture,caroline24,caroline48,lwd_forecast,roses_polynomial_9,roses_polynomial_5,roses_regression
0,2022-04-28 08:00:00+00:00,97.34999,2.41754,64.81818181818181,23.11817636363636,2472.021833636364,27.33636090909091,0.312815625,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
1,2022-04-28 09:00:00+00:00,97.3374925,2.187745833333333,57.27483333333333,24.39166333333333,2470.3650058333333,27.716664166666664,0.1618383333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
2,2022-04-28 10:00:00+00:00,97.31999,1.8979966666666668,55.499833333333335,24.16666333333333,2464.4574958333333,25.9666625,0.1628558333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
3,2022-04-28 11:00:00+00:00,97.31332333333334,1.8643291666666664,48.04983333333333,25.03333083333333,2459.6525025,28.2166625,0.1617583333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
4,2022-04-28 12:00:00+00:00,97.3090818181818,1.5263325,39.92483333333333,25.549995,2456.1999875,28.19166333333333,0.1618991666666666,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
5,2022-04-28 13:00:00+00:00,97.27832916666668,1.4485825,42.483,25.44999583333333,2459.6124641666665,26.2416625,0.1633866666666666,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
6,2022-04-28 14:00:00+00:00,97.2424925,1.385080833333333,38.70816666666667,25.833331666666663,2450.8475091666664,27.08333,0.1610345454545454,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
7,2022-04-28 15:00:00+00:00,97.23915750000002,1.30183,36.91666666666666,25.57499583333333,2444.233333333333,25.29166333333333,0.1624691666666666,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
8,2022-04-28 16:00:00+00:00,97.24082583333336,1.1694141666666666,38.866249999999994,24.8499975,2429.994175833333,24.149995,0.1615933333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
9,2022-04-28 17:00:00+00:00,97.29416,1.400915,58.099999999999994,22.88333,2416.6633266666668,20.774996666666667,0.16255,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
10,2022-04-28 18:00:00+00:00,97.34908727272727,1.6592483333333332,86.27466666666666,20.79999666666667,2413.1416783333334,16.908330833333334,0.1636083333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
11,2022-04-28 19:00:00+00:00,97.39832916666668,1.6183308333333333,92.8415,19.441661666666665,2414.245785,15.349995833333333,0.1643,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
12,2022-04-28 20:00:00+00:00,97.42416083333336,1.5400808333333331,94.69166666666666,18.283329166666665,2416.1608241666668,14.274995833333334,0.16593,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
13,2022-04-28 21:00:00+00:00,97.43499916666669,1.4791658333333333,96.10816666666668,17.291663333333332,2418.5499833333333,13.433328333333334,0.1679033333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
14,2022-04-28 22:00:00+00:00,97.4408325,1.4549116666666668,97.275,16.516661666666668,2420.1858258333336,12.999995833333337,0.1656241666666666,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
15,2022-04-28 23:00:00+00:00,97.43083333333334,1.4424108333333334,97.97475,15.924995833333334,2422.608293333333,12.73333,0.1663558333333333,13.504022267316012,,1,4.6606447554012105,4.117629529372132,-21.86
16,2022-04-29 00:00:00+00:00,97.41416166666666,1.4073291666666667,98.08324999999999,15.349996666666668,2423.8675075,12.349998333333334,0.1649925,,,1,,,-21.86
17,2022-04-29 01:00:00+00:00,97.39499416666666,1.389829166666667,93.05816666666668,14.924995833333334,2425.6408825,12.966661666666669,0.1657041666666666,,,1,,,-21.86
18,2022-04-29 02:00:00+00:00,97.36583083333332,1.3655791666666666,92.3165,14.549996666666669,2426.9724691666665,12.824996666666664,0.164565,,,1,,,-21.86
19,2022-04-29 03:00:00+00:00,97.33915916666666,1.366665,90.2165,14.291660833333331,2427.5841425,13.191664166666667,0.163975,,,1,,,-21.86
20,2022-04-29 04:00:00+00:00,97.36749333333334,1.4309983333333334,86.009,14.374996666666668,2428.0899816666665,14.641663333333334,0.1647075,,,1,,,-21.86
21,2022-04-29 05:00:00+00:00,97.40749583333331,1.52383,92.15825,14.916663333333332,2427.6816575,14.533329166666666,0.1643208333333333,,,1,,,-21.86
22,2022-04-29 06:00:00+00:00,97.42166166666668,2.037831666666667,90.1915,16.849996666666666,2425.9649825,18.7166625,0.1638741666666666,,,1,,,-21.86
23,2022-04-29 07:00:00+00:00,97.385996,2.366096,80.16980000000001,19.43749625,2444.96749375,23.849998,0.164831,,,1,,,-21.86
24,2022-04-29 08:00:00+00:00,97.3524925,2.3594958333333333,67.59133333333334,22.48333,2471.828324166667,26.691662500000003,0.1632616666666666,,,1,,,-21.86
25,2022-04-29 09:00:00+00:00,97.33165916666668,2.3674966666666664,61.92491666666666,24.474996666666662,2471.8566833333334,28.191661666666665,0.1638325,,,1,,,-21.86
26,2022-04-29 10:00:00+00:00,97.28332833333332,2.3532458333333333,57.17491666666666,25.383329166666663,2466.6133375,28.991665,0.1628558333333333,,,1,,,-21.86
27,2022-04-29 11:00:00+00:00,97.2449975,2.2896625,55.358333333333334,25.45833,2461.6857875,27.52499583333333,0.1617575,,,1,,,-21.86
